bot,symbol,side,entry_price,exit_price,size,pnl_usdt,pnl_pct,stop_loss,take_profit,exit_reason,entry_time,exit_time,duration_min
Bot3_Momentum,AVAX/USDT,sell,9.29,9.29,269.230769,0.0,0.0,9.2846,9.2436,sl,2026-05-24 13:55:35,2026-05-24 14:05:36,10.02
Bot1_Trend,AVAX/USDT,sell,9.21,9.21,233.333333,0.0,0.0,9.2057,9.1564,sl,2026-05-24 20:32:43,2026-05-24 20:47:44,15.02
Bot1_Trend,AVAX/USDT,buy,9.38,9.42,350.0,14.0,0.4264,9.4154,9.4157,tp,2026-05-25 09:42:23,2026-05-25 10:17:26,35.06
Bot3_Momentum,AVAX/USDT,buy,9.41,9.4,269.230769,-2.6923,-0.1063,9.4157,9.4564,sl,2026-05-25 10:18:00,2026-05-25 10:33:02,15.02
Bot3_Momentum,AVAX/USDT,buy,9.48,9.45,166.666667,-5.0,-0.3165,9.4534,9.555,sl,2026-05-25 14:34:54,2026-05-25 14:44:56,10.03
Bot1_Trend,AVAX/USDT,sell,9.34,9.35,145.833333,-1.4583,-0.1071,9.35,9.2543,sl,2026-05-25 21:28:16,2026-05-25 21:53:18,25.04
Bot1_Trend,AVAX/USDT,sell,9.32,9.34,120.689655,-2.4138,-0.2146,9.3396,9.2164,sl,2026-05-25 22:03:52,2026-05-25 22:13:53,10.02
Bot1_Trend,AVAX/USDT,sell,9.2,9.12,166.666667,13.3333,0.8696,9.1304,9.125,tp,2026-05-26 17:21:53,2026-05-26 17:31:54,10.02
Bot3_Momentum,AVAX/USDT,sell,9.13,9.18,120.689655,-6.0345,-0.5476,9.1483,9.0264,sl,2026-05-26 17:32:30,2026-05-26 17:42:30,10.02
Bot1_Trend,AVAX/USDT,sell,9.14,9.16,233.333333,-4.6667,-0.2188,9.1557,9.0864,sl,2026-05-26 23:55:11,2026-05-27 00:10:13,15.02
Bot1_Trend,AVAX/USDT,sell,9.14,9.14,318.181818,0.0,0.0,9.1336,9.1007,sl,2026-05-27 03:51:11,2026-05-27 04:11:13,20.03
