bot,symbol,side,entry_price,exit_price,size,pnl_usdt,pnl_pct,stop_loss,take_profit,exit_reason,entry_time,exit_time,duration_min
Bot3_Momentum,BTC/USDT,sell,77916.55,78102.0,0.037421,-6.9397,-0.238,77977.848,77649.3186,sl,2026-05-17 14:16:46,2026-05-17 14:26:47,10.02
Bot3_Momentum,BTC/USDT,buy,78190.01,78228.18,0.005819,0.2221,0.0488,78241.4771,79908.4443,sl,2026-05-17 18:05:01,2026-05-17 19:30:12,85.17
Bot3_Momentum,BTC/USDT,sell,78064.01,78087.25,0.027649,-0.6426,-0.0298,77998.8451,77702.3271,sl,2026-05-17 22:11:59,2026-05-17 22:32:01,20.03
Bot1_Trend,BTC/USDT,sell,76783.77,77123.22,0.00348,-1.1813,-0.4421,77086.4482,73910.4529,sl,2026-05-18 01:38:39,2026-05-18 01:58:41,20.03
Bot1_Trend,BTC/USDT,sell,76730.0,76912.0,0.019621,-3.571,-0.2372,76882.4154,76220.3457,sl,2026-05-18 02:54:34,2026-05-18 03:04:35,10.02
Bot3_Momentum,BTC/USDT,sell,76675.25,76967.79,0.034295,-10.0327,-0.3815,76821.0443,76383.6614,sl,2026-05-18 06:11:17,2026-05-18 06:16:18,5.01
Bot3_Momentum,BTC/USDT,buy,77358.86,77384.88,0.025659,0.6676,0.0336,77415.074,77748.5914,sl,2026-05-18 11:44:30,2026-05-18 12:14:33,30.05
Bot1_Trend,BTC/USDT,buy,77157.02,77033.39,0.01341,-1.6579,-0.1602,77094.0557,77902.7486,sl,2026-05-18 22:09:00,2026-05-18 22:44:04,35.06
Bot1_Trend,BTC/USDT,sell,76612.0,76716.09,0.015059,-1.5675,-0.1359,76682.7214,75947.9657,sl,2026-05-19 02:55:41,2026-05-19 03:10:43,15.02
Bot1_Trend,BTC/USDT,buy,77058.57,77148.83,0.041852,3.7776,0.1171,77150.5532,77297.5071,sl,2026-05-19 07:08:13,2026-05-19 07:28:15,20.03
