bot,symbol,side,entry_price,exit_price,size,pnl_usdt,pnl_pct,stop_loss,take_profit,exit_reason,entry_time,exit_time,duration_min
Bot1_Trend,ETH/USDT,sell,2183.02,2185.99,0.923727,-2.7435,-0.1361,2184.8661,2172.1943,sl,2026-05-17 15:17:35,2026-05-17 15:47:38,30.05
Bot1_Trend,ETH/USDT,sell,2182.68,2180.59,1.54321,3.2253,0.0958,2178.4911,2176.2,sl,2026-05-17 16:59:12,2026-05-17 17:24:15,25.04
Bot3_Momentum,ETH/USDT,sell,2182.6,2183.97,0.583625,-0.7996,-0.0628,2180.3966,2165.4657,sl,2026-05-17 22:12:00,2026-05-17 22:32:02,20.03
Bot1_Trend,ETH/USDT,sell,2099.96,2084.32,0.789177,12.3427,0.7448,2086.3839,2087.2886,tp,2026-05-18 18:16:20,2026-05-18 18:26:21,10.02
Bot3_Momentum,ETH/USDT,sell,2084.11,2097.06,0.605641,-7.8431,-0.6214,2087.6314,2067.5986,sl,2026-05-18 18:27:01,2026-05-18 19:02:05,35.06
Bot1_Trend,ETH/USDT,buy,2136.61,2134.84,0.655308,-1.1599,-0.0828,2135.0911,2151.87,sl,2026-05-18 21:33:15,2026-05-18 21:48:17,15.03
Bot1_Trend,ETH/USDT,buy,2139.13,2137.92,0.842561,-1.0195,-0.0566,2138.4389,2150.9986,sl,2026-05-19 00:24:48,2026-05-19 00:39:49,15.03
Bot1_Trend,ETH/USDT,buy,2133.69,2133.33,0.95524,-0.3439,-0.0169,2133.9346,2144.1586,sl,2026-05-19 04:37:17,2026-05-19 05:07:20,30.05
Bot3_Momentum,ETH/USDT,buy,2119.53,2117.88,1.556247,-2.5678,-0.0778,2118.3631,2125.9557,sl,2026-05-19 21:14:57,2026-05-19 21:29:59,15.02
Bot3_Momentum,ETH/USDT,buy,2124.63,2126.86,1.000286,2.2306,0.105,2127.024,2134.6271,sl,2026-05-20 05:14:53,2026-05-20 05:44:56,30.05
