bot,symbol,side,entry_price,exit_price,size,pnl_usdt,pnl_pct,stop_loss,take_profit,exit_reason,entry_time,exit_time,duration_min
Bot3_Momentum,XRP/USDT,sell,1.343,1.3366,2095.808383,13.4132,0.4765,1.3373,1.337,tp,2026-05-24 21:28:26,2026-05-24 21:38:27,10.02
Bot1_Trend,XRP/USDT,buy,1.3609,1.3609,1690.821256,0.0,0.0,1.3616,1.3683,sl,2026-05-25 09:31:21,2026-05-25 09:41:22,10.02
Bot3_Momentum,XRP/USDT,buy,1.3607,1.3603,2500.0,-1.0,-0.0294,1.3603,1.3657,sl,2026-05-25 14:09:10,2026-05-25 14:24:11,15.02
Bot1_Trend,XRP/USDT,sell,1.3542,1.3548,2083.333333,-1.25,-0.0443,1.3546,1.3482,sl,2026-05-25 20:37:36,2026-05-25 20:57:38,20.03
Bot3_Momentum,XRP/USDT,sell,1.3513,1.349,1933.701657,4.4475,0.1702,1.3485,1.3448,sl,2026-05-25 22:29:29,2026-05-25 22:39:30,10.02
Bot1_Trend,XRP/USDT,sell,1.3402,1.3412,1966.292135,-1.9663,-0.0746,1.3406,1.3338,sl,2026-05-26 09:02:05,2026-05-26 09:12:06,10.02
Bot3_Momentum,XRP/USDT,buy,1.3596,1.3558,1301.115242,-4.9442,-0.2795,1.3558,1.3692,sl,2026-05-26 13:50:40,2026-05-26 14:05:42,15.03
Bot1_Trend,XRP/USDT,sell,1.3302,1.3306,1104.100946,-0.4416,-0.0301,1.3299,1.3189,sl,2026-05-26 19:13:17,2026-05-26 19:28:18,15.02
Bot1_Trend,XRP/USDT,sell,1.3307,1.3325,1650.943396,-2.9717,-0.1353,1.3313,1.3231,sl,2026-05-27 10:44:41,2026-05-27 11:04:43,20.03
Bot3_Momentum,XRP/USDT,sell,1.3293,1.3301,1158.940397,-0.9272,-0.0602,1.3291,1.3185,sl,2026-05-27 16:35:50,2026-05-27 16:45:51,10.02
Bot1_Trend,XRP/USDT,sell,1.3014,1.2906,1301.115242,14.052,0.8299,1.2921,1.2918,tp,2026-05-28 03:10:31,2026-05-28 03:20:32,10.02
Bot1_Trend,XRP/USDT,buy,1.2926,1.2926,1741.293532,0.0,0.0,1.2955,1.2998,sl,2026-05-28 09:27:26,2026-05-28 10:22:32,55.09
Bot3_Momentum,XRP/USDT,sell,1.287,1.2873,1528.384279,-0.4585,-0.0233,1.2873,1.2788,sl,2026-05-28 11:28:28,2026-05-28 11:38:29,10.02
Bot1_Trend,XRP/USDT,sell,1.2847,1.2878,1707.317073,-5.2927,-0.2413,1.2865,1.2774,sl,2026-05-28 12:24:08,2026-05-28 12:34:09,10.02
Bot1_Trend,XRP/USDT,buy,1.332,1.334,890.585242,1.7812,0.1502,1.3346,1.346,sl,2026-05-28 18:15:31,2026-05-28 18:25:33,10.03
Bot1_Trend,XRP/USDT,sell,1.1347,1.1317,1400.0,4.2,0.2644,1.1307,1.1258,sl,2026-06-10 00:27:56,2026-06-10 00:52:58,25.04
Bot1_Trend,XRP/USDT,buy,1.1278,1.1203,649.350649,-4.8701,-0.665,1.1283,1.147,sl,2026-06-10 15:37:32,2026-06-10 15:52:33,15.02
Bot1_Trend,XRP/USDT,sell,1.1042,1.1047,729.166667,-0.3646,-0.0453,1.1026,1.0871,sl,2026-06-10 18:39:50,2026-06-10 18:49:51,10.02
Bot1_Trend,XRP/USDT,sell,1.0992,1.1,812.064965,-0.6497,-0.0728,1.0962,1.0838,sl,2026-06-10 19:20:46,2026-06-10 20:15:52,55.09
Bot1_Trend,XRP/USDT,sell,1.0903,1.093,1245.551601,-3.363,-0.2476,1.0929,1.0803,sl,2026-06-10 21:51:41,2026-06-10 22:01:42,10.02
Bot1_Trend,XRP/USDT,buy,1.1194,1.1196,1104.100946,0.2208,0.0179,1.1201,1.1307,sl,2026-06-11 04:47:21,2026-06-11 04:57:22,10.02
Bot3_Momentum,XRP/USDT,buy,1.1229,1.1215,1301.115242,-1.8216,-0.1247,1.122,1.1325,sl,2026-06-11 10:52:56,2026-06-11 11:02:57,10.02
Bot1_Trend,XRP/USDT,buy,1.1242,1.1205,1143.79085,-4.232,-0.3291,1.1218,1.1351,sl,2026-06-11 11:53:04,2026-06-11 12:08:05,15.02
Bot3_Momentum,XRP/USDT,sell,1.1102,1.1138,1023.391813,-3.6842,-0.3243,1.113,1.098,sl,2026-06-11 12:33:07,2026-06-11 12:43:08,10.02
Bot1_Trend,XRP/USDT,sell,1.112,1.1143,994.318182,-2.2869,-0.2068,1.1099,1.0994,sl,2026-06-11 13:28:14,2026-06-11 13:38:15,10.02
Bot1_Trend,XRP/USDT,buy,1.1484,1.1447,843.373494,-3.1205,-0.3222,1.1454,1.1632,sl,2026-06-11 19:30:41,2026-06-11 19:45:43,15.02
Bot1_Trend,XRP/USDT,sell,1.1313,1.1344,2215.189873,-6.8671,-0.274,1.133,1.1257,sl,2026-06-13 06:17:24,2026-06-13 06:32:25,15.02
Bot3_Momentum,XRP/USDT,buy,1.1461,1.1486,2651.515152,6.6288,0.2181,1.149,1.1508,sl,2026-06-13 11:09:28,2026-06-13 11:24:30,15.02
Bot3_Momentum,XRP/USDT,buy,1.1607,1.1562,1598.173516,-7.1918,-0.3877,1.1576,1.1685,sl,2026-06-13 15:39:36,2026-06-13 15:44:37,5.01
Bot1_Trend,XRP/USDT,sell,1.1435,1.1453,1411.290323,-2.5403,-0.1574,1.1448,1.1346,sl,2026-06-13 17:55:47,2026-06-13 18:05:48,10.02
Bot3_Momentum,XRP/USDT,buy,1.1498,1.1519,2302.631579,4.8355,0.1826,1.1538,1.1552,sl,2026-06-13 21:41:45,2026-06-13 22:01:47,20.03
Bot1_Trend,XRP/USDT,buy,1.1555,1.1529,1794.871795,-4.6667,-0.225,1.1529,1.1625,sl,2026-06-14 02:17:43,2026-06-14 02:37:45,20.03
Bot1_Trend,XRP/USDT,buy,1.1536,1.1517,916.230366,-1.7408,-0.1647,1.1524,1.1672,sl,2026-06-14 03:53:21,2026-06-14 04:13:23,20.04
Bot1_Trend,XRP/USDT,buy,1.1529,1.1499,862.068966,-2.5862,-0.2602,1.1501,1.1674,sl,2026-06-14 04:18:52,2026-06-14 04:28:53,10.02
